Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 71.0.3578.98,,2018-12-26 17:00:10,2018-12-26 17:01:03,"53,319s",PASSED
,,,,,,
Test Cases/tc by TestGitKatalaon2_,Chrome 71.0.3578.98,,2018-12-26 17:00:10,2018-12-26 17:01:02,"52,161s",PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-26 17:00:11,2018-12-26 17:00:35,"24,220s",PASSED
"navigateToUrl(""lifecharger.org"")",Chrome 71.0.3578.98,,2018-12-26 17:00:35,2018-12-26 17:01:01,"25,749s",PASSED
closeBrowser(),Chrome 71.0.3578.98,,2018-12-26 17:01:01,2018-12-26 17:01:02,"1,208s",PASSED
