Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 71.0.3578.98,,2018-12-26 17:06:12,2018-12-26 17:07:45,"1m - 32,727s",PASSED
,,,,,,
Test Cases/tc by TestGitKatalaon2_,Chrome 71.0.3578.98,,2018-12-26 17:06:13,2018-12-26 17:07:45,"1m - 32,001s",PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-26 17:06:13,2018-12-26 17:06:27,"13,952s",PASSED
"navigateToUrl(""lifecharger.org"")",Chrome 71.0.3578.98,,2018-12-26 17:06:27,2018-12-26 17:07:40,"1m - 12,382s",PASSED
closeBrowser(),Chrome 71.0.3578.98,,2018-12-26 17:07:40,2018-12-26 17:07:45,"4,911s",PASSED
