Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 71.0.3578.98,,2018-12-26 21:31:24,2018-12-26 21:32:11,"46,411s",PASSED
,,,,,,
Test Cases/tc by TestGitKatalaon2_,Chrome 71.0.3578.98,,2018-12-26 21:31:25,2018-12-26 21:32:10,"44,946s",PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-26 21:31:26,2018-12-26 21:31:47,"21,790s",PASSED
"navigateToUrl(""lifecharger.org"")",Chrome 71.0.3578.98,,2018-12-26 21:31:47,2018-12-26 21:32:08,"20,507s",PASSED
closeBrowser(),Chrome 71.0.3578.98,,2018-12-26 21:32:08,2018-12-26 21:32:10,"1,680s",PASSED
